PDBID	SCIENTIFIC_ORGANISM	EC_NUMBER	
2h06	Homo sapiens 	2.7.6.1	
3my5	Homo sapiens 	2.7.11.22	
2flp	Homo sapiens 	2.7.7.7	
3my1	Homo sapiens 	2.7.11.22	
3my1	Homo sapiens 	2.7.11.23	
3my0	Homo sapiens 	2.7.11.30	
2fln	Homo sapiens 	2.7.7.7	
2fll	Homo sapiens 	2.7.7.7	
3mwe	Homo sapiens 	2.3.3.8	
3mwd	Homo sapiens 	2.3.3.8	
2ys2	Homo sapiens 	2.7.10.2	
3gjw	Homo sapiens 	2.4.2.30	
1z4r	Homo sapiens 	2.3.1.48	
3o8u	Homo sapiens 	2.7.11.24	
1rfg	Homo sapiens 	2.4.2.1	
3o8t	Homo sapiens 	2.7.11.24	
1xrj	Homo sapiens 	2.7.1.48	
3o8p	Homo sapiens 	2.7.11.24	
1rfa	Homo sapiens 	2.7.11.1	
3mx0	Homo sapiens 	2.7.10.1	
3mvm	Homo sapiens 	2.7.11.24	
4hib	Homo sapiens 	2.4.2.10	
3mvl	Homo sapiens 	2.7.11.24	
3tcp	Homo sapiens 	2.7.10.1	
3mvj	Homo sapiens 	2.7.11.11	
3mvh	Homo sapiens 	2.7.11.1	
1rew	Homo sapiens 	2.7.11.30	
1xqz	Homo sapiens 	2.7.11.1	
2yr3	Homo sapiens 	2.7.11.18	
1z57	Homo sapiens 	2.7.12.1	
3o7w	Homo sapiens 	2.1.1.233	
12gs	Homo sapiens 	2.5.1.18	
3mw7	Homo sapiens 	2.4.2.10	
3o96	Homo sapiens 	2.7.11.1	
1xqh	Homo sapiens 	2.1.1.43	
3mw1	Homo sapiens 	2.7.11.24	
1ekv	Homo sapiens 	2.6.1.42	
1m9z	Homo sapiens 	2.7.11.30	
1em6	Homo sapiens 	2.4.1.1	
1ekp	Homo sapiens 	2.6.1.42	
1kws	Homo sapiens 	2.4.1.135	
1kwp	Homo sapiens 	2.7.11.1	
4hgt	Homo sapiens 	2.7.11.1	
4hgt	Homo sapiens 	2.7.11.26	
4hgs	Homo sapiens 	2.7.11.1	
1ekf	Homo sapiens 	2.6.1.42	
1xr1	Homo sapiens 	2.7.11.1	
4hgl	Homo sapiens 	2.7.11.1	
4azf	Homo sapiens 	2.7.12.1	
2fk9	Homo sapiens 	2.7.11.13	
4aze	Homo sapiens 	2.7.12.1	
1kwa	Homo sapiens 	2.7.11.1	
